account_length,international_plan,voice_mail_plan,number_vmail_messages,total_day_minutes,total_day_calls,total_day_charge,total_eve_minutes,total_eve_calls,total_eve_charge,total_night_minutes,total_night_calls,total_night_charge,customer_service_calls,churn,local_area_code,phone_num,city
170,yes,no,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,3,0,305.0,1639.0,Miami
87,no,no,0,256.2,105,43.55,160.7,102,13.66,249.4,80,11.22,4,0,941.0,6966.0,Sarasota
118,no,yes,36,294.9,106,50.13,165.7,115,14.08,189.2,63,8.51,3,0,727.0,8763.0,Clearwater
96,no,no,0,260.4,115,44.27,146.0,46,12.41,269.5,87,12.13,5,0,305.0,4596.0,Miami
61,yes,yes,29,128.2,119,21.79,171.7,83,14.59,250.9,114,11.29,3,0,407.0,3843.0,Orlando
75,yes,no,0,166.7,113,28.34,148.3,122,12.61,186.9,121,8.41,3,0,786.0,6626.0,Miami
88,yes,yes,25,288.5,114,49.05,203.4,74,17.29,228.4,117,10.28,1,0,561.0,4870.0,West Palm Beach
64,yes,no,0,146.7,83,24.94,148.3,91,12.61,238.6,69,10.74,3,0,386.0,8391.0,Daytona Beach
85,yes,no,0,197.2,97,33.52,211.7,115,17.99,210.1,133,9.45,4,0,305.0,2460.0,Miami
136,yes,no,0,256.8,90,43.66,230.1,104,19.56,143.6,82,6.46,3,0,786.0,8596.0,Miami
84,yes,no,0,443.2,71,50.9,61.9,88,5.26,196.9,89,8.86,2,0,850.0,9999.0,Tallahassee
116,yes,no,0,215.4,104,36.62,204.8,79,17.41,278.5,109,12.53,3,0,941.0,7425.0,Sarasota
90,yes,no,0,221.8,97,37.71,203.8,134,17.32,215.8,154,9.71,1,0,321.0,7293.0,Orlando
82,yes,no,0,208.8,101,35.5,213.7,87,18.16,175.1,86,7.88,3,0,850.0,4604.0,Tallahassee
179,yes,yes,38,220.1,78,37.42,234.3,71,19.92,237.3,85,10.68,4,0,561.0,3412.0,West Palm Beach
55,yes,no,0,269.6,121,45.83,171.7,91,14.59,219.0,98,9.86,1,0,941.0,5970.0,Sarasota
19,yes,no,0,237.7,98,40.41,207.1,121,17.6,182.2,95,8.2,0,0,850.0,3910.0,Tallahassee
107,yes,no,0,273.5,104,46.5,183.8,68,15.62,153.8,67,6.92,2,0,813.0,8875.0,Tampa
167,yes,no,0,244.8,91,41.62,60.8,105,5.17,176.7,110,7.95,2,0,305.0,8772.0,Miami
50,yes,yes,26,307.1,94,52.21,289.4,78,24.6,174.9,109,7.87,0,0,904.0,5891.0,Jacksonville
92,yes,no,0,264.3,91,44.93,160.9,115,13.68,198.6,73,8.94,0,0,904.0,9401.0,Jacksonville
155,yes,no,0,250.8,146,42.64,152.5,105,12.96,148.1,104,6.66,2,0,407.0,9531.0,Orlando
190,yes,no,0,111.9,55,19.02,223.0,124,18.96,243.2,81,10.94,3,0,561.0,5753.0,West Palm Beach
81,yes,yes,37,237.1,76,40.31,264.2,125,22.46,271.3,120,12.21,1,0,727.0,7581.0,Clearwater
147,yes,yes,24,219.9,118,37.38,208.5,116,17.72,352.5,111,15.86,3,0,850.0,5682.0,Tallahassee
103,yes,no,0,62.8,124,10.68,170.4,66,14.48,280.2,78,12.61,3,0,407.0,3678.0,Orlando
107,yes,no,0,234.1,91,39.8,163.1,105,13.86,282.5,100,12.71,1,0,786.0,9688.0,Miami
138,yes,no,0,268.4,81,45.63,174.4,115,14.82,193.5,96,8.71,1,0,727.0,2209.0,Clearwater
87,yes,yes,40,221.6,79,37.67,157.1,74,13.35,222.4,124,10.01,1,0,904.0,4147.0,Jacksonville
99,yes,no,0,197.2,127,33.52,156.0,92,13.26,204.1,99,9.18,4,0,941.0,8512.0,Sarasota
105,yes,no,0,150.0,106,25.5,293.8,123,24.97,250.7,65,11.28,3,0,813.0,2250.0,Tampa
83,yes,no,0,271.5,87,46.16,216.3,126,18.39,121.1,105,5.45,1,0,850.0,3561.0,Tallahassee
138,yes,yes,17,225.2,116,38.28,173.4,88,14.74,145.8,99,6.56,0,0,786.0,7485.0,Miami
129,yes,no,0,267.4,78,45.46,204.2,85,17.36,111.7,146,5.03,1,0,239.0,4992.0,Cape Coral
92,yes,yes,45,281.1,88,47.79,198.0,103,16.83,94.3,76,4.24,0,0,904.0,9522.0,Jacksonville
127,yes,no,0,256.5,87,43.61,222.1,101,18.88,156.7,122,7.05,1,0,305.0,1413.0,Miami
85,yes,no,0,116.2,86,19.75,229.7,127,19.52,204.2,109,9.19,3,0,239.0,2951.0,Cape Coral
43,yes,no,0,251.5,105,42.76,212.8,104,18.09,157.8,67,7.1,0,0,561.0,9847.0,West Palm Beach
146,yes,no,0,204.4,135,34.75,219.1,90,18.62,222.7,114,10.02,3,0,386.0,4842.0,Daytona Beach
102,yes,no,0,224.2,81,38.11,243.3,90,20.68,147.8,66,6.65,3,0,850.0,9689.0,Tallahassee
94,yes,no,0,243.2,109,41.34,147.0,88,12.5,94.9,99,4.27,4,0,786.0,3046.0,Miami
92,yes,no,0,255.8,125,43.49,142.7,111,12.13,181.2,101,8.15,0,0,239.0,2917.0,Cape Coral
121,yes,yes,44,254.1,127,43.2,180.2,108,15.32,196.2,129,8.83,3,0,386.0,3343.0,Daytona Beach
54,yes,no,0,236.3,91,40.17,152.8,130,12.99,160.3,98,7.21,3,0,850.0,6932.0,Tallahassee
104,yes,no,0,160.4,73,27.27,293.9,103,24.98,306.6,90,13.8,4,0,386.0,3966.0,Daytona Beach
57,yes,yes,30,234.5,130,39.87,195.2,116,16.59,268.8,94,12.1,2,0,321.0,3782.0,Orlando
148,yes,no,0,218.7,111,37.18,155.6,133,13.23,277.4,62,12.48,1,0,941.0,4234.0,Sarasota
81,yes,no,0,227.4,105,38.66,211.5,120,17.98,258.2,113,11.62,0,0,305.0,7861.0,Miami
55,yes,no,0,221.0,115,37.57,165.4,97,14.06,235.4,117,10.59,1,0,407.0,7562.0,Orlando
59,yes,yes,31,225.0,78,38.25,191.3,79,16.26,226.7,79,10.2,1,0,386.0,5354.0,Daytona Beach
126,yes,yes,34,244.9,118,41.63,219.6,105,18.67,210.8,136,9.49,4,0,407.0,3722.0,Orlando
169,yes,no,0,57.1,98,9.71,199.7,78,16.97,274.7,103,12.36,3,0,850.0,5870.0,Tallahassee
100,yes,no,0,219.4,112,37.3,225.7,102,19.18,255.3,95,11.49,4,0,407.0,9449.0,Orlando
156,yes,no,0,277.0,119,47.09,238.3,106,20.26,94.4,96,4.25,1,0,407.0,4518.0,Orlando
91,yes,no,0,129.9,112,22.08,173.3,83,14.73,247.2,130,11.12,3,0,239.0,2919.0,Cape Coral
86,yes,no,0,266.1,120,45.24,182.0,92,15.47,206.5,103,9.29,1,0,386.0,7435.0,Daytona Beach
124,yes,no,0,244.6,89,41.58,188.8,80,16.05,206.0,114,9.27,1,0,305.0,6374.0,Miami
118,yes,no,0,223.4,98,37.98,220.6,101,18.75,203.9,118,9.18,0,0,386.0,8027.0,Daytona Beach
98,yes,yes,23,245.5,54,41.74,292.7,83,24.88,184.0,90,8.28,1,0,305.0,7155.0,Miami
128,yes,no,0,245.2,112,41.68,101.5,101,8.63,152.3,116,6.85,0,0,850.0,6038.0,Tallahassee
94,yes,no,0,235.6,131,40.05,194.8,107,16.56,170.6,93,7.68,1,0,321.0,9254.0,Orlando
149,yes,no,0,180.9,79,30.75,194.9,83,16.57,197.8,109,8.9,3,0,850.0,9079.0,Tallahassee
81,yes,no,0,250.6,85,42.6,187.9,50,15.97,120.3,131,5.41,1,0,850.0,4664.0,Tallahassee
40,yes,no,0,170.7,55,29.02,179.1,108,15.22,281.9,89,12.69,3,0,305.0,2189.0,Miami
66,yes,no,0,208.7,84,35.48,173.3,88,14.73,264.7,107,11.91,3,0,904.0,3333.0,Jacksonville
140,yes,yes,27,188.9,124,32.11,160.9,102,13.68,197.7,100,8.9,4,0,904.0,1076.0,Jacksonville
136,yes,yes,33,203.9,106,34.66,187.6,99,15.95,101.7,107,4.58,3,0,727.0,1381.0,Clearwater
94,yes,yes,23,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,4,0,727.0,5009.0,Clearwater
29,yes,yes,37,235.0,101,39.95,183.3,79,15.58,139.8,106,6.29,2,0,239.0,3058.0,Cape Coral
148,yes,no,0,218.9,88,37.21,208.0,85,17.68,203.3,99,9.15,0,0,786.0,3915.0,Miami
40,yes,no,0,220.8,100,37.54,265.7,106,22.58,212.8,94,9.58,0,0,386.0,1900.0,Daytona Beach
103,yes,no,0,171.7,78,29.19,144.5,86,12.28,157.9,106,7.11,3,0,813.0,2560.0,Tampa
57,yes,yes,17,236.5,94,40.21,163.1,94,13.86,236.7,117,10.65,2,0,561.0,6418.0,West Palm Beach
102,yes,no,0,233.8,103,39.75,221.6,131,18.84,146.9,106,6.61,0,0,305.0,6560.0,Miami
105,yes,no,0,228.4,100,38.83,145.1,108,12.33,245.3,140,11.04,0,0,321.0,4540.0,Orlando
141,yes,yes,37,258.6,84,43.96,222.0,111,18.87,326.4,97,14.69,0,0,305.0,8173.0,Miami
167,yes,no,0,219.1,100,37.25,242.9,90,20.65,168.9,101,7.6,2,0,305.0,3618.0,Miami
127,yes,no,0,247.5,99,42.08,108.5,118,9.22,232.0,72,10.44,2,0,727.0,4706.0,Clearwater
170,yes,no,0,259.9,68,44.18,245.0,122,20.83,134.4,121,6.05,3,0,305.0,1639.0,Miami
